_id;x1;x2;x3;x4;x5;x6;treated;ps;ss_pair;wnnem_pair;nn_euk_pair_01;nn_mah_pair_01
0;0;0;0;0;0;1;0;0,207248929192348;;133,0;390,0;390,0
1;0;1;1;0;0;1;0;0,29190094793143195;;388,0;;388,0
2;0;1;0;1;1;0;0;0,3030348001957405;10,0;298,0;436,0;377,0
3;0;1;1;0;0;1;0;0,29190094793143195;;;;
4;0;0;0;0;1;1;0;0,2632338474605984;;;;
5;0;1;0;1;1;0;1;0,3030348001957405;291,0;528,0;528,0;528,0
6;1;1;0;0;0;1;1;0,35422611154504696;432,0;432,0;127,0;309,0
7;0;0;0;1;0;1;0;0,2753081933195574;;;;
8;0;1;1;1;1;1;0;0,4501473795086837;82,0;215,0;34,0;386,0
9;0;0;0;1;1;0;0;0,28138908825186754;418,0;436,0;;
10;0;1;0;1;1;0;1;0,3030348001957405;2,0;291,0;299,0;406,0
11;1;1;0;1;0;1;1;0,4435465796666669;592,0;222,0;214,0;222,0
12;0;1;0;0;0;0;0;0,17961146631316968;;;;
13;1;0;1;1;0;1;1;0,5048125532864441;41,0;311,0;211,0;578,0
14;1;1;0;0;1;1;0;0,4284560788216125;144,0;466,0;574,0;484,0
15;1;0;1;1;1;0;0;0,5123785732457995;;534,0;;
16;0;0;1;0;1;0;0;0,27676013871605626;;;;
17;0;1;1;1;0;1;0;0,3746226153293537;580,0;;;
18;1;0;0;1;0;0;0;0,3512471360833499;;472,0;114,0;354,0
19;0;0;0;1;1;1;0;0,3417524538577981;261,0;147,0;147,0;582,0
20;0;0;0;0;0;1;0;0,207248929192348;133,0;;;
21;0;1;1;0;0;0;0;0,23717023124678005;146,0;238,0;;
22;0;0;1;0;1;1;0;0,3365956238747993;301,0;;364,0;355,0
23;0;1;0;1;0;1;0;0,2966792547433902;;477,0;;
24;0;1;0;1;1;1;0;0,3656786946243736;230,0;243,0;65,0;243,0
25;1;0;0;1;0;0;1;0,3512471360833499;98,0;89,0;342,0;277,0
26;1;1;1;1;1;0;0;0,5384783371768098;;433,0;303,0;303,0
27;1;0;0;0;0;1;0;0,3306585947733612;486,0;85,0;486,0;178,0
28;0;0;0;0;1;1;0;0,2632338474605984;;;;
29;0;1;1;0;1;0;0;0,29819753122397696;;394,0;;
30;1;1;1;1;1;0;0;0,5384783371768098;455,0;286,0;455,0;534,0
31;0;1;1;1;0;0;0;0,3111982338515346;;;;248,0
32;0;0;1;0;0;1;0;0,2707415885789225;206,0;;;
33;1;1;1;0;1;1;0;0,5156379511797571;;538,0;452,0;
34;0;1;1;1;1;1;1;0,4501473795086837;393,0;421,0;8,0;421,0
35;1;0;1;1;1;1;0;0,5821514741154583;42,0;42,0;326,0;521,0
36;0;0;1;1;1;0;0;0,35735647137134297;257,0;474,0;257,0;
37;0;0;1;0;0;1;0;0,2707415885789225;201,0;201,0;;206,0
38;0;0;0;1;1;1;0;0,3417524538577981;147,0;;322,0;322,0
39;1;1;0;0;1;0;1;0,3611813609331195;160,0;494,0;191,0;191,0
40;0;1;1;1;0;1;0;0,3746226153293537;670,0;;670,0;552,0
41;1;0;1;1;0;1;0;0,5048125532864441;13,0;;310,0;102,0
42;1;0;1;1;1;1;1;0,5821514741154583;35,0;35,0;205,0;644,0
43;1;1;1;1;1;1;1;0,6073783665585388;105,0;174,0;353,0;493,0
44;0;1;0;1;0;0;0;0,2413579948840177;;;298,0;
45;0;1;1;0;0;1;1;0,29190094793143195;81,0;67,0;67,0;67,0
46;1;0;1;1;1;1;1;0,5821514741154583;231,0;231,0;572,0;689,0
47;1;1;1;0;1;1;0;0,5156379511797571;;630,0;;446,0
48;1;0;1;0;0;1;0;0,4122958424135459;;;77,0;
49;0;1;0;0;1;0;0;0,23029944197901306;;564,0;;376,0
50;1;0;0;1;1;1;1;0,4952217399494778;119,0;699,0;555,0;500,0
51;0;0;1;0;0;1;0;0,2707415885789225;100,0;136,0;201,0;
