_id;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;treated;ps;ss_pair;wnnem_pair;nn_euk_pair_01;nn_mah_pair_01;psm_02_pair_01;psm_dyn_pair_01;nn_euk_pair_02;nn_mah_pair_02;psm_02_pair_02;psm_dyn_pair_02;nn_euk_pair_03;nn_mah_pair_03;psm_02_pair_03;psm_dyn_pair_03;nn_euk_pair_04;nn_mah_pair_04;psm_02_pair_04;psm_dyn_pair_04;nn_euk_pair_05;nn_mah_pair_05;psm_02_pair_05;psm_dyn_pair_05;nn_euk_pair_06;nn_mah_pair_06;psm_02_pair_06;psm_dyn_pair_06;nn_euk_pair_07;nn_mah_pair_07;psm_02_pair_07;psm_dyn_pair_07;nn_euk_pair_08;nn_mah_pair_08;psm_02_pair_08;psm_dyn_pair_08;nn_euk_pair_09;nn_mah_pair_09;psm_02_pair_09;psm_dyn_pair_09;nn_euk_pair_10;nn_mah_pair_10;psm_02_pair_10;psm_dyn_pair_10
0;0;0;0;0;0;1;0;1;1;0;0;0,44855132802133263;;800,0;597,0;;;;48,0;;;;800,0;;;;800,0;;;;767,0;48,0;;;800,0;48,0;;;48,0;;;;800,0;48,0;;;800,0;48,0;;;767,0;48,0;;
1;0;1;0;1;0;1;1;0;0;1;0;0,28552970709091696;;363,0;588,0;588,0;162,0;162,0;588,0;588,0;162,0;162,0;588,0;588,0;162,0;162,0;588,0;588,0;162,0;162,0;588,0;588,0;162,0;162,0;588,0;588,0;162,0;49,0;588,0;588,0;78,0;49,0;588,0;588,0;49,0;162,0;588,0;588,0;162,0;162,0;588,0;588,0;49,0;49,0
2;1;0;0;1;0;0;0;0;1;1;0;0,4159149539664061;;;;;166,0;320,0;;;320,0;320,0;;;320,0;792,0;;;328,0;328,0;;;320,0;328,0;;;328,0;166,0;;;320,0;320,0;;;328,0;320,0;;;320,0;320,0;;;320,0;320,0
3;0;1;0;1;1;0;1;1;0;0;0;0,2746081640590933;;;49,0;;;;78,0;;;;777,0;;;;49,0;;;;49,0;;;;49,0;;;;777,0;;491,0;491,0;78,0;;;470,0;78,0;;;;78,0;;;
4;0;1;0;0;0;1;0;1;0;1;0;0,3490780571151397;684,0;;684,0;;684,0;684,0;684,0;;588,0;684,0;684,0;;397,0;397,0;684,0;;339,0;339,0;684,0;;397,0;392,0;684,0;;339,0;397,0;684,0;;397,0;684,0;684,0;;397,0;397,0;684,0;;397,0;606,0;684,0;;397,0;684,0
5;1;1;1;1;0;0;0;1;1;0;1;0,4261256232637752;778,0;778,0;912,0;778,0;778,0;778,0;778,0;778,0;778,0;778,0;778,0;912,0;778,0;778,0;789,0;778,0;778,0;778,0;789,0;77,0;778,0;778,0;778,0;912,0;778,0;778,0;778,0;778,0;778,0;888,0;778,0;778,0;778,0;888,0;912,0;912,0;778,0;778,0;778,0;912,0;778,0;778,0
6;0;1;0;1;1;0;1;1;0;1;0;0,31678877263052746;;696,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;1;0;1;0;0;0;0;1;0;1;0,3344665866360278;;874,0;591,0;742,0;535,0;183,0;742,0;953,0;183,0;183,0;591,0;953,0;183,0;994,0;591,0;953,0;535,0;994,0;742,0;953,0;535,0;183,0;742,0;953,0;183,0;183,0;591,0;953,0;183,0;183,0;591,0;742,0;535,0;183,0;591,0;742,0;183,0;535,0;591,0;742,0;183,0;994,0
8;1;1;0;1;1;1;0;0;1;1;1;0,3788688014704407;586,0;586,0;586,0;33,0;400,0;553,0;586,0;33,0;586,0;586,0;586,0;33,0;586,0;400,0;586,0;33,0;553,0;414,0;586,0;33,0;586,0;586,0;586,0;117,0;586,0;400,0;300,0;586,0;586,0;400,0;586,0;586,0;586,0;400,0;586,0;33,0;586,0;775,0;586,0;33,0;414,0;586,0
9;1;0;1;1;1;0;0;0;1;0;0;0,3598653382533017;;175,0;467,0;175,0;;;175,0;467,0;;;175,0;467,0;;;175,0;175,0;;;175,0;175,0;;;175,0;467,0;;;175,0;175,0;;;467,0;467,0;;;467,0;467,0;;;467,0;175,0;;
10;1;0;0;1;1;1;0;1;1;0;0;0,4260985265183042;727,0;727,0;727,0;727,0;727,0;751,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;727,0;30,0;727,0;727,0;727,0;727,0;800,0;751,0;727,0;727,0;751,0;727,0;727,0;727,0;727,0;727,0
11;0;1;0;0;0;0;0;1;1;1;0;0,4601711695230926;;289,0;767,0;538,0;;;767,0;538,0;;;597,0;538,0;;;289,0;538,0;;;597,0;538,0;;;289,0;538,0;;;597,0;538,0;;;767,0;538,0;;;597,0;538,0;;;597,0;538,0;;
12;0;0;0;0;0;1;0;1;1;0;0;0,44855132802133263;;;;;;;;;;;;;;;;;;;;;;;;;;374,0;;;;;;;;;;;;;;38,0;;
13;0;0;0;0;1;0;1;1;0;1;0;0,3483204635230829;606,0;606,0;606,0;606,0;588,0;588,0;606,0;606,0;606,0;392,0;606,0;606,0;588,0;339,0;606,0;606,0;392,0;392,0;606,0;606,0;588,0;606,0;606,0;606,0;392,0;606,0;606,0;606,0;392,0;392,0;606,0;606,0;339,0;606,0;606,0;606,0;339,0;339,0;606,0;606,0;606,0;606,0
14;0;1;0;1;0;1;0;1;1;1;1;0,4635978699023721;444,0;444,0;444,0;444,0;444,0;444,0;444,0;444,0;444,0;444,0;444,0;609,0;444,0;444,0;444,0;609,0;444,0;444,0;444,0;609,0;444,0;444,0;444,0;609,0;444,0;444,0;444,0;609,0;444,0;444,0;444,0;444,0;444,0;444,0;708,0;444,0;444,0;444,0;444,0;609,0;444,0;444,0
15;1;0;0;1;0;0;1;1;1;1;1;0,495836533416727;;774,0;210,0;579,0;;74,0;210,0;579,0;590,0;785,0;210,0;134,0;590,0;670,0;210,0;134,0;590,0;102,0;210,0;134,0;;811,0;210,0;774,0;;964,0;210,0;134,0;;785,0;210,0;579,0;;682,0;210,0;579,0;670,0;670,0;210,0;579,0;;785,0
16;1;0;1;0;0;0;0;1;0;0;1;0,3391794275465625;;950,0;62,0;62,0;229,0;366,0;521,0;950,0;366,0;875,0;518,0;490,0;561,0;953,0;490,0;62,0;561,0;561,0;950,0;490,0;;366,0;490,0;330,0;561,0;953,0;521,0;490,0;;561,0;490,0;490,0;680,0;875,0;521,0;62,0;120,0;561,0;950,0;330,0;;953,0
17;0;0;1;1;0;1;1;0;1;0;0;0,391883712332728;118,0;118,0;239,0;951,0;118,0;118,0;118,0;703,0;118,0;118,0;118,0;951,0;118,0;118,0;118,0;951,0;118,0;118,0;239,0;118,0;118,0;118,0;239,0;951,0;118,0;118,0;239,0;118,0;118,0;118,0;239,0;118,0;118,0;118,0;118,0;951,0;118,0;118,0;118,0;118,0;118,0;118,0
18;1;1;1;1;1;0;0;1;1;1;1;0,452719377373086;;243,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;370,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;46,0;287,0;287,0;46,0;46,0
19;0;0;0;0;1;0;0;1;1;1;0;0,463436984073094;543,0;543,0;543,0;543,0;;572,0;597,0;543,0;;379,0;543,0;543,0;;784,0;543,0;543,0;;918,0;543,0;767,0;;572,0;584,0;543,0;;45,0;543,0;543,0;;111,0;543,0;289,0;;;543,0;543,0;;396,0;543,0;543,0;;780,0
20;1;0;1;1;0;1;1;1;1;1;1;0,5231201545445471;;341,0;507,0;341,0;;;507,0;577,0;704,0;704,0;507,0;507,0;;341,0;507,0;542,0;704,0;416,0;341,0;341,0;;704,0;341,0;341,0;704,0;;507,0;507,0;704,0;341,0;341,0;341,0;;;542,0;507,0;704,0;341,0;507,0;507,0;;793,0
21;1;0;1;1;1;1;0;0;1;1;0;0,4194149024224581;;;;;;;;;;;;;;;;372,0;;;;;;;;;;;;93,0;;;;;;;;;;;;;;
22;1;0;0;0;1;0;0;1;0;0;0;0,3051293907094253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;0;1;1;1;1;1;0;0;1;0;1;0,3376773888126934;296,0;296,0;296,0;296,0;296,0;296,0;744,0;296,0;823,0;296,0;744,0;296,0;253,0;741,0;296,0;296,0;296,0;296,0;296,0;296,0;741,0;741,0;296,0;296,0;296,0;296,0;296,0;296,0;296,0;296,0;191,0;191,0;823,0;296,0;296,0;296,0;296,0;279,0;191,0;296,0;296,0;296,0
24;0;1;1;1;0;1;1;0;1;1;0;0,414703710749656;;310,0;;637,0;792,0;328,0;637,0;637,0;372,0;792,0;637,0;637,0;792,0;295,0;637,0;637,0;295,0;792,0;637,0;637,0;792,0;792,0;310,0;637,0;932,0;932,0;;637,0;932,0;792,0;;637,0;792,0;792,0;637,0;637,0;792,0;792,0;637,0;637,0;932,0;932,0
25;0;1;1;0;1;1;1;1;1;1;1;0,471589560552494;;857,0;957,0;104,0;;811,0;957,0;456,0;609,0;966,0;957,0;456,0;;609,0;957,0;456,0;;966,0;957,0;456,0;;609,0;957,0;456,0;;609,0;957,0;456,0;;609,0;957,0;456,0;;609,0;957,0;456,0;609,0;927,0;957,0;456,0;966,0;105,0
26;1;1;1;1;0;1;0;1;0;0;0;0,31840382042365445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;0;1;1;0;0;1;1;0;1;1;0;0,4230254489650223;;141,0;141,0;111,0;639,0;325,0;;111,0;325,0;639,0;141,0;111,0;325,0;751,0;141,0;111,0;325,0;325,0;;111,0;325,0;325,0;;111,0;751,0;639,0;;111,0;325,0;325,0;111,0;111,0;325,0;325,0;;166,0;325,0;325,0;;111,0;325,0;325,0
28;1;1;1;1;1;0;1;1;1;0;0;0,4107204426350154;528,0;528,0;528,0;528,0;528,0;528,0;528,0;360,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;360,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0;528,0
29;1;0;0;1;0;1;0;0;1;0;1;0,3788602595337455;;625,0;625,0;625,0;586,0;586,0;163,0;625,0;553,0;553,0;625,0;655,0;553,0;586,0;625,0;625,0;586,0;586,0;625,0;743,0;553,0;414,0;625,0;655,0;414,0;414,0;625,0;743,0;414,0;586,0;625,0;163,0;553,0;414,0;625,0;743,0;400,0;586,0;163,0;743,0;586,0;400,0
30;1;0;0;1;1;1;0;0;1;0;1;0,3568185573223736;743,0;743,0;743,0;732,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;300,0;743,0;743,0;743,0;620,0;743,0;743,0;743,0;10,0;743,0;743,0;743,0;743,0;743,0;743,0;743,0;529,0;743,0;743,0;743,0;732,0;743,0;743,0
31;0;1;0;1;0;0;1;1;0;1;0;0,3376558612398812;301,0;301,0;301,0;301,0;301,0;706,0;301,0;301,0;301,0;301,0;301,0;301,0;706,0;706,0;301,0;301,0;301,0;706,0;301,0;301,0;301,0;301,0;301,0;301,0;706,0;301,0;301,0;301,0;635,0;538,0;301,0;301,0;706,0;301,0;301,0;301,0;538,0;301,0;301,0;301,0;301,0;301,0
32;0;1;0;1;1;0;0;0;1;1;0;0,3589176898665287;;;;;;;;;;;;;;;;735,0;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1;1;0;1;1;1;0;0;1;0;0;0,33244435738441225;;240,0;70,0;8,0;548,0;548,0;;8,0;548,0;548,0;70,0;8,0;548,0;548,0;70,0;8,0;548,0;548,0;70,0;8,0;548,0;548,0;70,0;70,0;548,0;548,0;;70,0;548,0;548,0;70,0;;548,0;548,0;;8,0;548,0;548,0;70,0;8,0;548,0;548,0
34;0;0;0;0;1;1;1;1;0;1;0;0,3592881829780611;;;;;;;;903,0;;;;;;;;;;;;;;;;;;;;;;;;903,0;;;;;;;;;;
