_id;x1;x2;x3;x4;x5;x6;treated;ps;ss_pair;wnnem_pair;nn_euk_pair_01;nn_mah_pair_01;psm_02_pair_01;psm_dyn_pair_01;nn_euk_pair_02;nn_mah_pair_02;psm_02_pair_02;psm_dyn_pair_02;nn_euk_pair_03;nn_mah_pair_03;psm_02_pair_03;psm_dyn_pair_03;nn_euk_pair_04;nn_mah_pair_04;psm_02_pair_04;psm_dyn_pair_04;nn_euk_pair_05;nn_mah_pair_05;psm_02_pair_05;psm_dyn_pair_05;nn_euk_pair_06;nn_mah_pair_06;psm_02_pair_06;psm_dyn_pair_06;nn_euk_pair_07;nn_mah_pair_07;psm_02_pair_07;psm_dyn_pair_07;nn_euk_pair_08;nn_mah_pair_08;psm_02_pair_08;psm_dyn_pair_08;nn_euk_pair_09;nn_mah_pair_09;psm_02_pair_09;psm_dyn_pair_09;nn_euk_pair_10;nn_mah_pair_10;psm_02_pair_10;psm_dyn_pair_10
0;0;0;0;0;0;1;0;0,18223621119888045;;133,0;390,0;390,0;390,0;133,0;133,0;133,0;133,0;390,0;390,0;390,0;133,0;133,0;133,0;133,0;390,0;133,0;133,0;133,0;390,0;133,0;133,0;133,0;133,0;390,0;390,0;390,0;133,0;133,0;390,0;390,0;390,0;133,0;390,0;133,0;133,0;390,0;133,0;133,0;133,0;133,0
1;0;1;1;0;0;1;0;0,26404477799186865;;45,0;;;388,0;45,0;;;45,0;45,0;;;45,0;45,0;;;45,0;45,0;;;388,0;388,0;;;388,0;45,0;;;388,0;388,0;;;45,0;45,0;;;45,0;388,0;;;45,0;388,0
2;0;1;0;1;1;0;0;0,25830885822557065;5,0;10,0;10,0;5,0;;;377,0;436,0;;;10,0;5,0;;;10,0;5,0;;;10,0;377,0;;;5,0;5,0;;;377,0;5,0;;;377,0;377,0;;;436,0;377,0;;;377,0;377,0;;
3;0;1;1;0;0;1;0;0,26404477799186865;;388,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;0;0;1;1;0;0,2031540736476335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0;1;0;1;1;0;1;0,25830885822557065;2,0;299,0;528,0;2,0;528,0;299,0;299,0;299,0;291,0;298,0;299,0;2,0;298,0;528,0;299,0;2,0;291,0;291,0;291,0;298,0;298,0;298,0;2,0;2,0;299,0;298,0;291,0;2,0;528,0;298,0;299,0;298,0;528,0;299,0;291,0;299,0;291,0;291,0;299,0;299,0;299,0;298,0
6;1;1;0;0;0;1;1;0,33260969386236583;432,0;432,0;432,0;127,0;276,0;204,0;432,0;602,0;204,0;432,0;276,0;602,0;602,0;602,0;204,0;276,0;602,0;127,0;432,0;204,0;602,0;276,0;602,0;127,0;127,0;127,0;204,0;276,0;127,0;276,0;276,0;602,0;127,0;127,0;127,0;276,0;432,0;204,0;276,0;602,0;276,0;432,0
7;0;0;0;1;0;1;0;0,21962428116898436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;1;1;1;1;1;0;0,3413992654193282;;569,0;;;34,0;386,0;;;569,0;569,0;;;386,0;569,0;;;509,0;509,0;;;34,0;569,0;;;569,0;509,0;;;386,0;386,0;;;509,0;509,0;;;34,0;509,0;;;386,0;34,0
9;0;0;0;1;1;0;0;0,20754258615629076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0;1;0;1;1;0;1;0,25830885822557065;299,0;2,0;2,0;528,0;291,0;291,0;528,0;528,0;298,0;299,0;2,0;299,0;299,0;299,0;2,0;299,0;299,0;299,0;2,0;528,0;299,0;291,0;299,0;298,0;291,0;528,0;299,0;299,0;298,0;299,0;291,0;299,0;299,0;528,0;299,0;298,0;528,0;528,0;528,0;298,0;298,0;291,0
11;1;1;0;1;0;1;0;0,38627610533052;357,0;684,0;357,0;;;;71,0;;;;71,0;;;;357,0;;;;357,0;;;;357,0;;;;357,0;;;;71,0;;;;357,0;;;;125,0;;;
12;0;1;0;0;0;0;0;0,19422885098031425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;0;1;1;0;1;1;0,3642826211491781;451,0;510,0;512,0;148,0;578,0;578,0;211,0;148,0;578,0;512,0;41,0;41,0;451,0;512,0;512,0;75,0;578,0;578,0;41,0;41,0;578,0;578,0;512,0;75,0;451,0;451,0;211,0;41,0;451,0;451,0;211,0;75,0;512,0;512,0;41,0;41,0;451,0;578,0;512,0;75,0;451,0;451,0
14;1;1;0;0;1;1;0;0,3631236349357641;466,0;;144,0;;548,0;144,0;466,0;;466,0;466,0;548,0;;144,0;200,0;692,0;;144,0;692,0;466,0;;466,0;144,0;466,0;;466,0;200,0;200,0;;466,0;692,0;466,0;;200,0;466,0;200,0;;200,0;466,0;144,0;;548,0;548,0
15;1;0;1;1;1;0;0;0,34778969588175784;;;;489,0;;;;489,0;;;;489,0;;;;489,0;;;;489,0;;;;489,0;;;;489,0;;;;489,0;;;;489,0;;;;489,0;;
16;0;0;1;0;1;0;0;0,2006846350133488;279,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;0;1;1;1;0;1;0;0,31181707224316;670,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;0;0;1;0;0;0;0,27797347546282425;25,0;;;;354,0;354,0;;;25,0;619,0;;;25,0;114,0;;;354,0;619,0;;;619,0;354,0;;;619,0;354,0;;;25,0;619,0;;;354,0;114,0;;;25,0;354,0;;;25,0;619,0
19;0;0;0;1;1;1;0;0,2435555466319357;173,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;0;0;0;0;0;1;0;0,18223621119888045;133,0;;;;133,0;390,0;;;390,0;133,0;;;390,0;390,0;;;133,0;390,0;;;133,0;390,0;;;390,0;133,0;;;390,0;390,0;;;133,0;390,0;;;390,0;133,0;;;390,0;390,0
21;0;1;1;0;0;0;0;0,2259069811657392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;0;0;1;0;1;1;0;0,2358617810900413;301,0;;;224,0;;;;301,0;;;;301,0;;;;301,0;;;;364,0;;;;301,0;;;;301,0;;;;352,0;;;;352,0;;;;364,0;;
23;0;1;0;1;0;1;0;0,27233023077345325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;0;1;0;1;1;1;0;0,2997982482783427;243,0;;396,0;;106,0;65,0;243,0;;65,0;106,0;396,0;;106,0;230,0;65,0;;106,0;230,0;230,0;;396,0;230,0;396,0;;243,0;65,0;663,0;;230,0;243,0;106,0;;230,0;106,0;106,0;;243,0;106,0;230,0;;663,0;243,0
25;1;0;0;1;0;0;1;0,27797347546282425;18,0;342,0;629,0;98,0;342,0;674,0;342,0;629,0;18,0;674,0;137,0;629,0;18,0;137,0;137,0;629,0;342,0;674,0;137,0;629,0;676,0;674,0;137,0;629,0;342,0;676,0;629,0;137,0;18,0;674,0;342,0;98,0;676,0;676,0;522,0;137,0;18,0;676,0;342,0;342,0;18,0;676,0
26;1;1;1;1;1;0;0;0,4149003547110088;303,0;534,0;;;534,0;303,0;;;455,0;534,0;;;455,0;433,0;;;455,0;303,0;;;303,0;534,0;;;303,0;455,0;;;534,0;303,0;;;455,0;455,0;;;455,0;430,0;;;433,0;233,0
