_id;x1;x2;x3;x4;x5;x6;treated;ps;ss_pair;wnnem_pair;nn_euk_pair_01;nn_mah_pair_01;psm_02_pair_01;psm_dyn_pair_01;nn_euk_pair_02;nn_mah_pair_02;psm_02_pair_02;psm_dyn_pair_02;nn_euk_pair_03;nn_mah_pair_03;psm_02_pair_03;psm_dyn_pair_03;nn_euk_pair_04;nn_mah_pair_04;psm_02_pair_04;psm_dyn_pair_04;nn_euk_pair_05;nn_mah_pair_05;psm_02_pair_05;psm_dyn_pair_05;nn_euk_pair_06;nn_mah_pair_06;psm_02_pair_06;psm_dyn_pair_06;nn_euk_pair_07;nn_mah_pair_07;psm_02_pair_07;psm_dyn_pair_07;nn_euk_pair_08;nn_mah_pair_08;psm_02_pair_08;psm_dyn_pair_08;nn_euk_pair_09;nn_mah_pair_09;psm_02_pair_09;psm_dyn_pair_09;nn_euk_pair_10;nn_mah_pair_10;psm_02_pair_10;psm_dyn_pair_10
0;0;0;0;0;0;1;0;0,207248929192348;;133,0;390,0;390,0;133,0;390,0;390,0;133,0;390,0;133,0;390,0;390,0;133,0;133,0;133,0;390,0;133,0;390,0;133,0;390,0;133,0;390,0;390,0;133,0;133,0;390,0;390,0;133,0;390,0;390,0;390,0;390,0;133,0;390,0;390,0;390,0;390,0;390,0;390,0;133,0;390,0;390,0
1;0;1;1;0;0;1;0;0,29190094793143195;;388,0;;388,0;388,0;45,0;;388,0;45,0;45,0;;388,0;388,0;388,0;;388,0;388,0;45,0;;45,0;388,0;45,0;;388,0;45,0;388,0;;45,0;45,0;388,0;;45,0;45,0;388,0;;388,0;388,0;388,0;;45,0;45,0;45,0
2;0;1;0;1;1;0;0;0,3030348001957405;10,0;298,0;436,0;377,0;10,0;436,0;436,0;436,0;298,0;298,0;298,0;10,0;5,0;10,0;436,0;298,0;377,0;377,0;10,0;436,0;377,0;436,0;5,0;10,0;10,0;298,0;5,0;5,0;298,0;298,0;377,0;377,0;377,0;5,0;436,0;10,0;377,0;377,0;10,0;10,0;10,0;5,0
3;0;1;1;0;0;1;0;0,29190094793143195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;0;0;1;1;0;0,2632338474605984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0;1;0;1;1;0;1;0,3030348001957405;291,0;528,0;528,0;528,0;299,0;528,0;299,0;528,0;299,0;528,0;299,0;406,0;2,0;528,0;291,0;291,0;291,0;299,0;44,0;291,0;291,0;291,0;2,0;406,0;;399,0;2,0;2,0;291,0;528,0;528,0;528,0;;2,0;528,0;291,0;299,0;399,0;528,0;528,0;291,0;2,0
6;1;1;0;0;0;1;1;0,35422611154504696;432,0;432,0;127,0;309,0;432,0;127,0;602,0;204,0;650,0;650,0;210,0;602,0;602,0;629,0;210,0;292,0;204,0;674,0;210,0;602,0;602,0;127,0;127,0;292,0;204,0;650,0;432,0;432,0;432,0;204,0;204,0;127,0;674,0;629,0;210,0;292,0;674,0;602,0;204,0;602,0;432,0;127,0
7;0;0;0;1;0;1;0;0,2753081933195574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;1;1;1;1;1;0;0,4501473795086837;82,0;215,0;34,0;386,0;569,0;215,0;509,0;509,0;569,0;340,0;569,0;569,0;330,0;330,0;509,0;386,0;386,0;215,0;509,0;215,0;215,0;82,0;82,0;386,0;82,0;82,0;569,0;34,0;509,0;215,0;386,0;82,0;340,0;596,0;386,0;569,0;215,0;386,0;82,0;215,0;569,0;462,0
9;0;0;0;1;1;0;0;0,28138908825186754;418,0;436,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0;1;0;1;1;0;1;0,3030348001957405;2,0;291,0;299,0;406,0;2,0;299,0;528,0;291,0;528,0;291,0;528,0;2,0;291,0;2,0;299,0;406,0;;399,0;2,0;528,0;299,0;399,0;44,0;2,0;2,0;291,0;299,0;528,0;299,0;399,0;299,0;299,0;528,0;291,0;299,0;2,0;291,0;299,0;2,0;2,0;2,0;291,0
11;1;1;0;1;0;1;1;0,4435465796666669;592,0;222,0;214,0;222,0;;311,0;616,0;214,0;222,0;122,0;441,0;592,0;222,0;572,0;592,0;592,0;;211,0;430,0;222,0;592,0;616,0;616,0;214,0;616,0;496,0;441,0;222,0;222,0;637,0;592,0;592,0;222,0;222,0;441,0;592,0;;222,0;616,0;592,0;;145,0
12;0;1;0;0;0;0;0;0,17961146631316968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;0;1;1;0;1;1;0,5048125532864441;41,0;311,0;211,0;578,0;578,0;155,0;311,0;578,0;578,0;148,0;451,0;148,0;148,0;41,0;148,0;148,0;211,0;578,0;148,0;155,0;155,0;578,0;578,0;512,0;512,0;148,0;155,0;155,0;155,0;578,0;451,0;59,0;578,0;578,0;512,0;155,0;211,0;148,0;451,0;155,0;148,0;148,0
14;1;1;0;0;1;1;0;0,4284560788216125;144,0;466,0;574,0;484,0;200,0;68,0;692,0;548,0;692,0;144,0;574,0;68,0;466,0;68,0;144,0;692,0;200,0;548,0;692,0;692,0;144,0;466,0;484,0;68,0;466,0;200,0;484,0;466,0;548,0;68,0;692,0;484,0;466,0;144,0;466,0;68,0;574,0;692,0;200,0;692,0;144,0;68,0
15;1;0;1;1;1;0;0;0,5123785732457995;;534,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;0;1;0;1;0;0;0,27676013871605626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;0;1;1;1;0;1;0;0,3746226153293537;580,0;;;;;;;;;391,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;0;0;1;0;0;0;0,3512471360833499;;472,0;114,0;354,0;;;619,0;114,0;;;354,0;25,0;;;114,0;137,0;;;25,0;114,0;;;354,0;114,0;;;114,0;137,0;;;472,0;354,0;;;472,0;472,0;;;137,0;25,0;;
19;0;0;0;1;1;1;0;0,3417524538577981;261,0;147,0;147,0;582,0;173,0;147,0;261,0;355,0;261,0;337,0;173,0;474,0;147,0;337,0;261,0;582,0;337,0;173,0;261,0;70,0;337,0;147,0;173,0;366,0;173,0;337,0;337,0;322,0;261,0;337,0;147,0;156,0;337,0;337,0;173,0;355,0;337,0;173,0;147,0;322,0;173,0;261,0
20;0;0;0;0;0;1;0;0,207248929192348;133,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
